"","x"
"1",-0.317637868164532
"2",0.0102603370849451
"3",0.385801572104917
"4",0.390372504700378
"5",0.168584400550362
"6",0.42298806724953
"7",0.323598886951352
"8",0.434551168809212
"9",0.213447075357871
"10",0.252384298506924
"11",0.251586891231431
"12",0.192739144656931
"13",0.228223658749556
"14",0.19189375081368
"15",0.241344034430493
"16",0.254653815686072
"17",0.174150983603988
"18",0.212201864073762
"19",0.348530859066924
"20",0.259733769548072
"21",0.259104555808168
"22",0.233522976519497
"23",0.0558214445233093
"24",0.089892396868486
"25",0.0398185169853564
"26",0.0935351591486355
"27",0.115088201705018
"28",0.0886964367803305
"29",0.0668693876838098
"30",0.00400956251138002
"31",0.091706411505774
"32",0.0463073716940296
"33",0.190561208083462
"34",0.0139992710771241
"35",0.0506743071624884
"36",0.0745167891551145
"37",-0.0886612243023784
"38",0.0220084742283304
"39",-0.0747554736775135
"40",-0.0296146610284992
"41",-0.0362514137818277
"42",0.0468039698065801
"43",0.00952737819473315
"44",-0.111881523169458
"45",-0.171026493833645
"46",-0.0686444110754839
"47",0.0950868886296775
"48",-0.020740222444365
"49",-0.198860094167852
"50",-0.0433645235927717
"51",-0.0186165564431582
"52",-0.0404115754762017
"53",-0.0688728921380938
"54",-0.0991909049511042
"55",-0.141591964918289
"56",-0.25648767185266
"57",-0.305667177370023
"58",-0.132626862341641
"59",-0.227101610464242
"60",-0.241939417009927
"61",-0.300900737456988
"62",-0.213170636291676
"63",-0.219190719864587
"64",-0.233766230717234
"65",-0.202171283479574
"66",-0.140540607489793
"67",-0.26285949488662
"68",-0.196431055165857
"69",-0.254510869827784
"70",-0.359968392873578
"71",-0.303049812282552
"72",-0.427304040113545
"73",-0.206971627316592
"74",-0.23755986713765
"75",-0.347037442526758
"76",-0.356633246376727
"77",-0.291806183329556
"78",-0.351093449723399
"79",-0.414331530270487
"80",-0.253565263939826
"81",-0.518811818297942
"82",-0.346293051197618
"83",-0.401677857343612
"84",-0.342841217245799
"85",-0.365383669141968
"86",-0.366658742174766
"87",-0.467306918450886
"88",-0.290879982489389
"89",-0.302148678874901
"90",-0.479465953376288
"91",-0.39678938087788
"92",-0.40835122644659
"93",-0.390248300743997
"94",-0.523199054872519
"95",-0.342274904743703
"96",-0.442845914613284
"97",-0.419866928102126
"98",-0.502612277962044
"99",-0.537083645401967
"100",-0.526660114268013
"101",-0.401869891526809
"102",-0.573891684114146
"103",-0.579776934191469
"104",-0.553429189331791
