"","x"
"1",0.200015421177605
"2",0.20006168375917
"3",0.200138784891
"4",0.200246719817134
"5",0.200385481879639
"6",0.200555062519015
"7",0.200755451274731
"8",0.200986635785864
"9",0.201248601791865
"10",0.201541333133436
"11",0.201864811753529
"12",0.20221901769846
"13",0.202603929119137
"14",0.20301952227241
"15",0.203465771522537
"16",0.203942649342761
"17",0.204450126317013
"18",0.204988171141721
"19",0.205556750627748
"20",0.206155829702431
"21",0.206785371411752
"22",0.207445336922613
"23",0.208135685525232
"24",0.208856374635656
"25",0.209607359798385
"26",0.210388594689117
"27",0.211200031117605
"28",0.212041619030626
"29",0.212913306515075
"30",0.213815039801162
"31",0.214746763265729
"32",0.215708419435684
"33",0.216699948991546
"34",0.217721290771101
"35",0.218772381773176
"36",0.219853157161528
"37",0.22096355026884
"38",0.222103492600835
"39",0.223272913840499
"40",0.224471741852423
"41",0.225699902687248
"42",0.226957320586227
"43",0.228243917985903
"44",0.229559615522887
"45",0.230904332038758
"46",0.232277984585066
"47",0.233680488428453
"48",0.235111757055874
"49",0.23657170217994
"50",0.238060233744357
"51",0.239577259929487
"52",0.241122687158009
"53",0.242696420100693
"54",0.244298361682277
"55",0.245928413087459
"56",0.24758647376699
"57",0.249272441443877
"58",0.250986212119692
"59",0.252727680080987
"60",0.254496737905816
"61",0.256293276470358
"62",0.258117184955653
"63",0.259968350854434
"64",0.261846659978068
"65",0.263751996463601
"66",0.265684242780904
"67",0.267643279739922
"68",0.269628986498028
"69",0.271641240567475
"70",0.273679917822954
"71",0.275744892509248
"72",0.277836037248992
"73",0.279953223050529
"74",0.282096319315865
"75",0.284265193848727
"76",0.286459712862719
"77",0.28867974098957
"78",0.290925141287488
"79",0.293195775249606
"80",0.295491502812526
"81",0.297812182364958
"82",0.300157670756455
"83",0.302527823306245
"84",0.304922493812155
"85",0.307341534559627
"86",0.309784796330835
"87",0.312252128413883
"88",0.314743378612105
"89",0.317258393253456
"90",0.319797017199984
"91",0.322359093857408
"92",0.32494446518477
"93",0.327552971704189
"94",0.330184452510695
"95",0.332838745282157
"96",0.335515686289294
"97",0.338215110405775
"98",0.340936851118406
"99",0.343680740537397
"100",0.346446609406726
"101",0.349234287114572
"102",0.352043601703843
"103",0.354874379882781
"104",0.357726447035656
"105",0.360599627233529
"106",0.363493743245113
"107",0.3664086165477
"108",0.369344067338174
"109",0.372299914544103
"110",0.375275975834908
"111",0.37827206763311
"112",0.381288005125655
"113",0.384323602275311
"114",0.387378671832147
"115",0.390453025345083
"116",0.393546473173512
"117",0.396658824499
"118",0.399789887337058
"119",0.402939468548981
"120",0.406107373853763
"121",0.409293407840085
"122",0.412497373978361
"123",0.415719074632868
"124",0.418958311073935
"125",0.422214883490199
"126",0.425488591000934
"127",0.428779231668441
"128",0.432086602510502
"129",0.435410499512905
"130",0.438750717642026
"131",0.442107050857476
"132",0.445479292124814
"133",0.448867233428314
"134",0.452270665783796
"135",0.455689379251522
"136",0.459123162949142
"137",0.462571805064703
"138",0.466035092869713
"139",0.469512812732269
"140",0.473004750130227
"141",0.476510689664439
"142",0.480030415072042
"143",0.483563709239793
"144",0.487110354217464
"145",0.490670131231286
"146",0.494242820697446
"147",0.497828202235628
"148",0.50142605468261
"149",0.505036156105906
"150",0.5
"151",0.5
"152",0.5
"153",0.5
"154",0.5
"155",0.5
"156",0.5
"157",0.5
"158",0.5
"159",0.5
"160",0.5
"161",0.5
"162",0.5
"163",0.5
"164",0.5
"165",0.5
"166",0.5
"167",0.5
"168",0.5
"169",0.5
"170",0.5
"171",0.5
"172",0.5
"173",0.5
"174",0.5
"175",0.5
"176",0.5
"177",0.5
"178",0.5
"179",0.5
"180",0.5
"181",0.5
"182",0.5
"183",0.5
"184",0.5
"185",0.5
"186",0.5
"187",0.5
"188",0.5
"189",0.5
"190",0.5
"191",0.5
"192",0.5
"193",0.5
"194",0.5
"195",0.5
"196",0.5
"197",0.5
"198",0.5
"199",0.5
"200",0.5
"201",0.5
"202",0.5
"203",0.5
"204",0.5
"205",0.5
"206",0.5
"207",0.5
"208",0.5
"209",0.5
"210",0.5
"211",0.5
"212",0.5
"213",0.5
"214",0.5
"215",0.5
"216",0.5
"217",0.5
"218",0.5
"219",0.5
"220",0.5
"221",0.5
"222",0.5
"223",0.5
"224",0.5
"225",0.5
"226",0.5
"227",0.5
"228",0.5
"229",0.5
"230",0.5
"231",0.5
"232",0.5
"233",0.5
"234",0.5
"235",0.5
"236",0.5
"237",0.5
"238",0.5
"239",0.5
"240",0.5
"241",0.5
"242",0.5
"243",0.5
"244",0.5
"245",0.5
"246",0.5
"247",0.5
"248",0.5
"249",0.5
"250",0.5
"251",0.5
"252",0.5
"253",0.5
"254",0.5
"255",0.5
"256",0.5
"257",0.5
"258",0.5
"259",0.5
"260",0.5
"261",0.5
"262",0.5
"263",0.5
"264",0.5
"265",0.5
"266",0.5
"267",0.5
"268",0.5
"269",0.5
"270",0.5
"271",0.5
"272",0.5
"273",0.5
"274",0.5
"275",0.5
"276",0.5
"277",0.5
"278",0.5
"279",0.5
"280",0.5
"281",0.5
"282",0.5
"283",0.5
"284",0.5
"285",0.5
"286",0.5
"287",0.5
"288",0.5
"289",0.5
"290",0.5
"291",0.5
"292",0.5
"293",0.5
"294",0.5
"295",0.5
"296",0.5
"297",0.5
"298",0.5
"299",0.5
"300",0.5
"301",0.5
"302",0.5
"303",0.5
"304",0.5
"305",0.5
"306",0.5
"307",0.5
"308",0.5
"309",0.5
"310",0.5
"311",0.5
"312",0.5
"313",0.5
"314",0.5
"315",0.5
"316",0.5
"317",0.5
"318",0.5
"319",0.5
"320",0.5
"321",0.5
"322",0.5
"323",0.5
"324",0.5
"325",0.5
"326",0.5
"327",0.5
"328",0.5
"329",0.5
"330",0.5
"331",0.5
"332",0.5
"333",0.5
"334",0.5
"335",0.5
"336",0.5
"337",0.5
"338",0.5
"339",0.5
"340",0.5
"341",0.5
"342",0.5
"343",0.5
"344",0.5
"345",0.5
"346",0.5
"347",0.5
"348",0.5
"349",0.5
"350",0.5
"351",0.46828585108997
"352",0.467555878527937
"353",0.466840244214226
"354",0.466138992292533
"355",0.465452166019379
"356",0.464779807761444
"357",0.464121958992952
"358",0.463478660293114
"359",0.462849951343624
"360",0.462235870926212
"361",0.46163645692025
"362",0.461051746300417
"363",0.46048177513442
"364",0.459926578580764
"365",0.459386190886588
"366",0.45886064538555
"367",0.458349974495773
"368",0.457854209717842
"369",0.457373381632864
"370",0.456907519900581
"371",0.456456653257538
"372",0.456020809515313
"373",0.455600015558802
"374",0.455194297344559
"375",0.454803679899192
"376",0.454428187317828
"377",0.454067842762616
"378",0.453722668461306
"379",0.453392685705876
"380",0.453077914851216
"381",0.452778375313874
"382",0.452494085570861
"383",0.452225063158506
"384",0.45197132467138
"385",0.451732885761268
"386",0.451509761136205
"387",0.451301964559568
"388",0.45110950884923
"389",0.450932405876765
"390",0.450770666566718
"391",0.450624300895932
"392",0.450493317892932
"393",0.450377725637365
"394",0.450277531259507
"395",0.450192740939819
"396",0.450123359908567
"397",0.4500693924455
"398",0.450030841879585
"399",0.450007710588803
"400",0.45
"401",0.450007710588803
"402",0.450030841879585
"403",0.4500693924455
"404",0.450123359908567
"405",0.450192740939819
"406",0.450277531259507
"407",0.450377725637365
"408",0.450493317892932
"409",0.450624300895932
"410",0.450770666566718
"411",0.450932405876765
"412",0.45110950884923
"413",0.451301964559568
"414",0.451509761136205
"415",0.451732885761268
"416",0.45197132467138
"417",0.452225063158506
"418",0.452494085570861
"419",0.452778375313874
"420",0.453077914851216
"421",0.453392685705876
"422",0.453722668461306
"423",0.454067842762616
"424",0.454428187317828
"425",0.454803679899192
"426",0.455194297344559
"427",0.455600015558802
"428",0.456020809515313
"429",0.456456653257538
"430",0.456907519900581
"431",0.457373381632864
"432",0.457854209717842
"433",0.458349974495773
"434",0.45886064538555
"435",0.459386190886588
"436",0.459926578580764
"437",0.46048177513442
"438",0.461051746300417
"439",0.46163645692025
"440",0.462235870926212
"441",0.462849951343624
"442",0.463478660293114
"443",0.464121958992952
"444",0.464779807761444
"445",0.465452166019379
"446",0.466138992292533
"447",0.466840244214226
"448",0.467555878527937
"449",0.46828585108997
"450",0.469030116872178
"451",0.469788629964743
"452",0.470561343579005
"453",0.471348210050347
"454",0.472149180841139
"455",0.47296420654373
"456",0.473793236883495
"457",0.474636220721939
"458",0.475493106059846
"459",0.476363840040494
"460",0.477248368952908
"461",0.478146638235179
"462",0.479058592477827
"463",0.479984175427217
"464",0.480923329989034
"465",0.481875998231801
"466",0.482842121390452
"467",0.483821639869961
"468",0.484814493249014
"469",0.485820620283738
"470",0.486839958911477
"471",0.487872446254624
"472",0.488918018624496
"473",0.489976611525265
"474",0.491048159657932
"475",0.492132596924364
"476",0.49322985643136
"477",0.494339870494785
"478",0.495462570643744
"479",0.496597887624803
"480",0.497745751406263
"481",0.498906091182479
"482",0.500078835378227
"483",0.501263911653122
"484",0.502461246906077
"485",0.503670767279814
"486",0.504892398165418
"487",0.506126064206941
"488",0.507371689306053
"489",0.508629196626728
"490",0.509898508599992
"491",0.511179546928704
"492",0.512472232592385
"493",0.513776485852094
"494",0.515092226255348
"495",0.516419372641079
"496",0.517757843144647
"497",0.519107555202888
"498",0.520468425559203
"499",0.521840370268699
"500",0.523223304703363
"501",0.524617143557286
"502",0.526021800851921
"503",0.527437189941391
"504",0.528863223517828
"505",0.530299813616764
